Security Code,Issuer Name,Security Id,Security Name,Sector Name
500002,ABB India Limited,ABB,ABB India Limited,Industrials
500003,Aegis Logistics Ltd.,AEGISLOG,AEGIS LOGISTICS LTD.,Energy
500008,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Consumer Discretionary
500009,"Ambalal Sarabhai Enterprise Ltd.,",AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,Healthcare
500010,Housing Development Finance Corp.Lt,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Financial Services
500012,"Andhra Petrochemicals Ltd.,",ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,Commodities
500013,Ansal Properties & Infrastructure Ltd.,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Consumer Discretionary
500014,UTIQUE ENTERPRISES LIMITED,UTIQUE,Utique Enterprises Ltd,Commodities
500016,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Consumer Discretionary
500020,"Bombay Dyeing & Mfg. Co. Ltd.,",BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,Consumer Discretionary
500023,Asian Hotels (North) Limited,ASIANHOTNR,Asian Hotels (North) Limited,Consumer Discretionary
500027,"Atul Limited.,",ATUL,ATUL LTD.,Commodities
500028,ATV Projects India Ltd,ATVPR,ATV PROJECTS INDIA LTD.,Industrials
500031,"Bajaj Electricals Ltd.,",BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Consumer Discretionary
500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Fast Moving Consumer Goods
500033,Force Motors Limited,FORCEMOT,FORCE MOTORS LTD.-$,Consumer Discretionary
500034,Bajaj Finance Limited,BAJFINANCE,Bajaj Finance Limited,Financial Services
500038,Balrampur Chini Mills Ltd.,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Fast Moving Consumer Goods
500039,"Banco Products (India) Ltd.,",BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Consumer Discretionary
500040,"Century Textiles & Industries Ltd.,",CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,Commodities
500041,"Bannari Amman Sugars Ltd.,",BANARISUG,BANNARI AMMAN SUGARS LTD.,Fast Moving Consumer Goods
500042,BASF India Ltd,BASF,BASF INDIA LTD.,Commodities
500043,Bata India Limited,BATAINDIA,BATA INDIA LTD.,Consumer Discretionary
500048,BEML Ltd,BEML,BEML LTD.,Industrials
500049,"Bharat Electronics Ltd.,",BEL,BHARAT ELECTRONICS LTD.,Industrials
500052,"Bhansali Engineering Polymers Ltd.,",BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,Commodities
500058,Bihar Sponge Iron Ltd,BIHSPONG,BIHAR SPONGE IRON LTD.,Commodities
500059,Binani Industries Limited,BINANIIND,BINANI INDUSTRIES LTD.,Consumer Discretionary
500060,Birla Cable Limited,BIRLACABLE,Birla Cable Ltd,Telecommunication
500067,Blue Star Ltd,BLUESTARCO,BLUE STAR LTD.,Consumer Discretionary
500068,Disa India Ltd.,DISAQ,DISA INDIA LTD.,Industrials
500069,QUEST CAPITAL MARKETS LIMITED,QUESTCAP,Quest Capital Markets Ltd,Financial Services
500074,"BPL Ltd.,",BPL,BPL LTD.,Consumer Discretionary
500078,ORIENTAL AROMATICS LIMITED,OAL,Oriental Aromatics Ltd-$,Commodities
500083,"Century Extrusions Ltd.,",CENTEXT,CENTURY EXTRUSIONS LTD.,Industrials
500084,"CESC Limited,",CESC,CESC LTD.,Utilities
500085,Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,Commodities
500086,"Exide Industries Ltd.,",EXIDEIND,EXIDE INDUSTRIES LTD.,Consumer Discretionary
500087,"Cipla Ltd.,",CIPLA,CIPLA LTD.,Healthcare
500089,DIC India Ltd,DICIND,DIC INDIA LTD.,Commodities
500092,CRISIL Ltd.,CRISIL,CRISIL LTD.,Financial Services
500093,CG Power and Industrial Solutions Limited,CGPOWER,CG Power and Industrial Solutions Ltd,Industrials
500096,Dabur India Ltd.,DABUR,DABUR INDIA LTD.,Fast Moving Consumer Goods
500097,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Fast Moving Consumer Goods
500101,"Arvind Ltd.,",ARVIND,ARVIND LTD.,Consumer Discretionary
500102,"Ballarpur Industries Ltd.,",BALLARPUR,BALLARPUR INDUSTRIES LTD.,Commodities
500103,"Bharat Heavy Electricals Ltd.,",BHEL,BHARAT HEAVY ELECTRICALS LTD.,Industrials
500104,Hindustan Petroleum Corporation Ltd,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,Energy
500106,IFCI Ltd.,IFCI,IFCI LTD.,Financial Services
500108,Mahanagar Telephone Nigam Ltd.,MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,Telecommunication
500109,Mangalore Refinery & Petrochemicals,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,Energy
500110,Chennai Petroleum Corporation Ltd.,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,Energy
500111,Reliance Capital Limited,RELCAPITAL,RELIANCE CAPITAL LTD.,Financial Services
500112,"State Bank Of India,",SBIN,STATE BANK OF INDIA,Financial Services
500113,"Steel Authority of India Ltd.,",SAIL,STEEL AUTHORITY OF INDIA LTD.,Commodities
500114,Titan Company Limited,TITAN,Titan Company Limited,Consumer Discretionary
500116,IDBI Bank Ltd,IDBI,IDBI BANK LTD.,Financial Services
500117,"DCW Ltd.,",DCW,DCW LTD.,Commodities
500119,"Dhampur Sugar Mills Ltd.,",DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,Fast Moving Consumer Goods
500120,"Diamines & Chemicals Ltd.,",DIAMINESQ,DIAMINES & CHEMICALS LTD.-$,Commodities
500123,Elantas Beck India Ltd,ELANTAS,ELANTAS BECK INDIA LTD.-$,Commodities
500124,"Dr. Reddy's Laboratories Ltd.,",DRREDDY,DR.REDDY'S LABORATORIES LTD.,Healthcare
500125,"E.I.D. Parry (India) Ltd.,",EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,Commodities
500126,PROCTER & GAMBLE HEALTH LIMITED,PGHL,Procter & Gamble Health Ltd,Healthcare
500128,"Electrosteel Castings Ltd.,",ELECTCAST,ELECTROSTEEL CASTINGS LTD.,Industrials
500133,Esab India Ltd.,ESABINDIA,ESAB INDIA LTD.,Industrials
500135,EPL LIMITED,EPL,EPL Ltd,Industrials
500136,"Ester Industries Ltd.,",ESTER,ESTER INDUSTRIES LTD.,Industrials
500142,FGP Ltd,FGP,FGP LTD.,Financial Services
500143,P.H. Capital Ltd.,PHCAP,PH CAPITAL LTD.,Financial Services
500144,"Finolex Cables Ltd.,",FINCABLES,FINOLEX CABLES LTD.,Industrials
500147,JOHN COCKERILL INDIA LIMITED,COCKERILL,John Cockerill India Ltd-$,Industrials
500148,Uflex Limited,UFLEX,UFLEX LTD.,Industrials
500150,Foseco India Ltd,FOSECOIND,FOSECO INDIA LTD.,Commodities
500151,Golden Tobacco Ltd.,GOLDENTOBC,GOLDEN TOBACCO LTD.,Consumer Discretionary
500153,"Ganesh Benzoplast Ltd.,",GANESHBE,GANESH BENZOPLAST LTD.,Energy
500159,Metroglobal Limited,METROGLOBL,Metroglobal Limited,Services
500160,GTL Ltd,GTL,GTL LTD.,Telecommunication
500163,"Godfrey Phillips India Ltd.,",GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,Fast Moving Consumer Goods
500164,Godrej Industries Ltd.,GODREJIND,GODREJ INDUSTRIES LTD.,Diversified
500165,Kansai Nerolac Paints,KANSAINER,KANSAI NEROLAC PAINTS LTD.,Consumer Discretionary
500166,"Goodricke Group Ltd.,",GOODRICKE,GOODRICKE GROUP LTD.,Fast Moving Consumer Goods
500168,"Goodyear India Ltd.,",GOODYEAR,GOODYEAR INDIA LTD.,Consumer Discretionary
500170,GTN Industries Limited,GTNINDS,GTN INDUSTRIES LTD.,Consumer Discretionary
500171,GHCL Ltd.,GHCL,GHCL LTD.,Commodities
500173,GFL LIMITED,GFLLIMITED,GFL Ltd,Financial Services
500174,"Gujarat Lease Financing Limited,",GLFL,GUJARAT LEASE FINANCING LTD.,Financial Services
500179,HCL Infosystems Ltd,HCL-INSYS,HCL INFOSYSTEMS LTD.,Information Technology
500180,HDFC Bank Ltd.,HDFCBANK,HDFC Bank Ltd,Financial Services
500182,Hero MotoCorp Limited,HEROMOTOCO,HERO MOTOCORP LTD.,Consumer Discretionary
500183,HFCL LIMITED,HFCL,HFCL Ltd,Telecommunication
500184,Himadri Speciality Chemical Ltd.,HSCL,Himadri Speciality Chemical Ltd,Commodities
500185,"Hindustan Construction Co. Ltd.,",HCC,HINDUSTAN CONSTRUCTION CO.LTD.,Industrials
500186,Hindustan Oil Exploration Co. Ltd.,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,Energy
500187,AGI GREENPAC LIMITED,AGI,Agi Greenpac Ltd,Industrials
500188,"Hindustan Zinc Ltd.,",HINDZINC,HINDUSTAN ZINC LTD.,Commodities
500189,NDL Ventures Limited,NDLVENTURE,NDL Ventures Ltd,Consumer Discretionary
500191,HMT Limited,HMT,HMT LTD.,Industrials
500192,Prag Bosimi Synthetics Ltd.,PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,Consumer Discretionary
